observation_date,GDP
1/1/1980,7257.316
1/1/1981,7441.485
1/1/1982,7307.314
1/1/1983,7642.266
1/1/1984,8195.295
1/1/1985,8537.004
1/1/1986,8832.611
1/1/1987,9137.745
1/1/1988,9519.427
1/1/1989,9869.003
1/1/1990,10055.129
1/1/1991,10044.238
1/1/1992,10398.046
1/1/1993,10684.179
1/1/1994,11114.647
1/1/1995,11413.012
1/1/1996,11843.599
1/1/1997,12370.299
1/1/1998,12924.876
1/1/1999,13543.774
1/1/2000,14096.033
1/1/2001,14230.726
1/1/2002,14472.712
1/1/2003,14877.312
1/1/2004,15449.757
1/1/2005,15987.957
1/1/2006,16433.148
1/1/2007,16762.445
1/1/2008,16781.485
1/1/2009,16349.11
1/1/2010,16789.75
1/1/2011,17052.41
1/1/2012,17442.759
1/1/2013,17812.167
1/1/2014,18261.714
1/1/2015,18799.622
1/1/2016,19141.672
1/1/2017,19612.102
1/1/2018,20193.896
1/1/2019,20715.671
1/1/2020,20284.5
1/1/2021,21532.407
1/1/2022,22075.931
1/1/2023,22723.719
1/1/2024,23358.435
