observation_date,population
1/1/1980,227225000
1/1/1981,229466000
1/1/1982,231664000
1/1/1983,233792000
1/1/1984,235825000
1/1/1985,237924000
1/1/1986,240133000
1/1/1987,242289000
1/1/1988,244499000
1/1/1989,246819000
1/1/1990,249623000
1/1/1991,252981000
1/1/1992,256514000
1/1/1993,259919000
1/1/1994,263126000
1/1/1995,266278000
1/1/1996,269394000
1/1/1997,272657000
1/1/1998,275854000
1/1/1999,279040000
1/1/2000,282162411
1/1/2001,284968955
1/1/2002,287625193
1/1/2003,290107933
1/1/2004,292805298
1/1/2005,295516599
1/1/2006,298379912
1/1/2007,301231207
1/1/2008,304093966
1/1/2009,306771529
1/1/2010,309378227
1/1/2011,311839461
1/1/2012,314339099
1/1/2013,316726282
1/1/2014,319257560
1/1/2015,321815121
1/1/2016,324353340
1/1/2017,326608609
1/1/2018,328529577
1/1/2019,330226227
1/1/2020,331577720
1/1/2021,332099760
1/1/2022,334017321
1/1/2023,336806231
1/1/2024,340110988
