name,disaster_type,begin_date,end_date,cpi_adjusted_cost,unadjusted_cost,deaths,year,cost_rank
Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,1980-04-17,2749.4,706.8,7,1980,182
Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2236.2,590.0,13,1980,218
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,1980-11-30,40681.2,10020.0,1260,1980,14
Florida Freeze (January 1981),Freeze,1981-01-12,1981-01-14,2076.4,572.0,0,1981,233
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,1981-05-10,1409.1,401.4,20,1981,342
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,1982-01-16,2217.8,662.0,85,1982,221
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,1982-04-04,1604.0,483.2,33,1982,304
Severe Storms (June 1982),Severe Storm,1982-05-31,1982-06-10,1579.0,479.9,30,1982,308
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,1983-01-15,4946.2,1536.1,45,1982,100
Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,1983-03-31,4828.7,1499.6,50,1982,105
Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9450.0,3000.0,21,1983,55
Southeast Drought (Summer 1983),Drought,1983-06-01,1983-08-31,9574.0,2964.1,0,1983,53
Arizona Flooding (October 1983),Flooding,1983-09-29,1983-10-03,1252.0,400.0,14,1983,379
Freeze/Cold Wave (December 1983),Freeze,1983-12-15,1983-12-25,6479.5,2005.8,151,1983,74
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,1984-04-07,1851.6,603.1,80,1984,265
Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,1984-06-17,1356.4,446.2,1,1984,356
Florida Freeze (January 1985),Freeze,1985-01-20,1985-01-22,3588.0,1200.0,0,1985,139
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-19,1985-01-22,2502.4,836.9,150,1985,198
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,1985-05-31,1758.1,600.0,89,1985,277
Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3788.4,1297.4,4,1985,133
Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2491.3,856.1,11,1985,199
Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,1985-10-31,4340.4,1496.7,63,1985,114
